Hashtag,Final Code,,
26-Jan,E,,
1YearOfKillerFarmLaws,E,,
200DaysOfFarmersProtest,E,,
23March_किसानों_के_साथ,E,,
26JanDelhiChalo,E,,
300DeathsAtProtest,E,,
500DeathsAtFarmersProtest,E,,
5MonthsOfFarmersProtest,E,,
AajTak_दलाल_मोदी_का,G,,
AajTakSuppressingFarmerVoices,G,,
Anti_Farmer_RSS,G,,
AntiFarmerModi,I,,
ArdasFor1984Ghalughara,E,,
BharatKaregaDelhiKooch,E,,
BJPGovtDictatingTwitter,G,,
BoycottBJP_4Farmers,G,,
BoycottBJP4Farmers,G,,
BurnFarmLawsOnHoli,E,,
DelhiPolice_TorturingFarmers,G,,
DPstopIntimidatingFarmers,G,,
DPstopIntimidatingFarmers,G,,
FailedModi_BlamingFarmers,I,,
FarmerLivesMatter,M,,
Farmers_vs_BikauModi,I,,
FarmersAgainstAtrocities,G,,
FarmersAgitation,M,,
FarmersAreIndia,M,,
FarmersBeforeVotes,M,,
FarmersCall_BJPboycott,G,,
FarmersCallBJPboycott,G,,
FarmersCallPMforDebate,I,,
FarmersDemandJustice,M,,
FarmersFightFascistModi,I,,
FarmersProtest100Days,E,,
FarmersRejectSCcommittee,G,,
FarmersStandingFirm,M,,
FarmersTractorParade,E,,
FarmerSuicideModiQuiet,I,,
FarmersVsModiVirus,I,,
FarmersWillWinModiWillLoose,I,,
FarmerTikaitVsModiDakait,I,,
FarmLaws_DeathWarrant,S,,
FarmLaws_NextPandemic,S,,
FarmLaws_ThreatToIndians,S,,
FarmLawsAreNotReforms,S,,
FarmLawsScamWithFarmers,S,,
FarmLawsWorstThanCOVID,S,,
FencingLikeChinaPak,G,,
GiveJusticeNotDates,G,,
GiveMSP_RepealLaws,S,,
GodiMediaAntiFarmer,G,,
IndiaBeingSilenced,M,,
IndiaFights4FarmerRights,M,,
IndianFarmersHumanRights,M,,
IndiaSupportChakkaJaam,E,,
IndiaSupportsChakkaJaam,E,,
IndiaSupportsChakkaJam,E,,
Jumla_Nahin_MSP_Do,G,,
Justice4NavreetKilling,S,,
JusticeForRanjitSingh,S,,
Kisan_Da_Haq_Ethe_Rakh,M,,
KisanBole_NoVoteToModi,I,,
KisanoKiMaanoDushyant,I,,
KMP_हाइवे_बंद_है,E,,
Lashkar_e_RSS,G,,
MahapanchayatRevolution,E,,
Modi_Killing_Mandis,I,,
Modi_Nahi_Kisan_Jitega,I,,
Modi_Sold_Farmers,I,,
Modi_WorstStorm4Farmers,I,,
ModiChokingFarmersVoice,I,,
ModiDestroyingFarmers,I,,
ModiDontSellFarmers,I,,
ModiEgo_KillingFarmers,I,,
ModiHarassingProFarmers,I,,
ModiHates_Democracy,I,,
ModiIgnoringFarmersDeaths,I,,
ModiPlanningFarmerGenocide,I,,
ModiResignOrRepeal,I,,
ModiStopCrying_RepealLaws,I,,
ModiStopExploitingFarmers,I,,
ModiWhereAreMissingFarmers,I,,
MSP_is_Farmers_Oxygen,S,,
MSPLawForAllCrops,S,,
MyFarmer_MyPride,M,,
NationalJumlaDay,G,,
NIAusedAgainstFarmers,S,,
NoFarmers_NoFood,M,,
NoVoteTo_EvilModi,I,,
NoVoteTo_LiarModi,I,,
NoVoteToBJP,G,,
Pagdi_Sambhal_Jatta,G,,
PeacefulProtestContinues,M,,
PrayForFarmersVictory,M,,
RailRokoAndolan,E,,
RailRokoForFarmers,E,,
RealFarmersVsActorModi,I,,
ReleaseDetainedFarmers,G,,
RememberSirChhotuRamInModiEra,I,,
RepealFarmActsToday,S,,
RepealFarmLaws_NOW,S,,
RepealLawsToEndProtest,S,,
RepealOnlyWayAhead,S,,
RoarForFarmersRights,S,,
ShaheedJawan_ShaheedKisan,M,,
ShameOnTohanaPolice,G,,
SpeakUpForNodeep,I,,
StopChinaNotFarmers,G,,
StopHateAgainstFarmers,G,,
SupportPeacefulTractorParade,E,,
SuppressBillsNotJournalists,G,,
TakeBack_FarmLaws,S,,
TomarModiKisanVirodhi,I,,
TomarRepealOnlySolution,I,,
TractorMarchDelhi,E,,
TwitterStopHarassingFarmers,G,,
Vaccine_और_MSP_दो,G,,
Vaisakhi_With_Farmers,E,,
WeSaluteWomenFarmers,G,,
wesupportfarmers,M,,
wesupportfarmerschallenge,M,,
WhereAreMissingFarmers,S,,
आज_आक्सीजन_कल_रोटी_जायेगी,G,,
आंदोलन_किसानों_की_मजबूरी,M,,
एकजुट_किसान_मोदी_परेशान,I,,
काले_क़ानून_वापिस_लो,S,,
किसान_देगा_खट्टर_को_टक्कर,I,,
किसान_बहुजन_एकता_दिवस,E,,
किसानी_जीतेगी_मोदी_हारेगा,I,,
किसानों_का_दुश्मन_ZeeNews,G,,
किसानों_का_मोदी_को_धोबीपटका,I,,
किसानों_की_गद्दार_मोदी_सरकार,I,,
किसानों_से_भारत,M,,
कृषि_कानून_रद्द_करने_पड़ेंगे,S,,
खट्टर_सरकार_गुंडा_सरकार,I,,
जुमले_नहीं_कानून_वापसी,S,,
बजट_नहीं_बिल_वापसी,S,,
बजटनहींबिल_वापसी,S,,
भाषण_नहीं_MSP_चाहिए,S,,
मोदी_कठपुतली_अंबानी_की,I,,
मोदी_कायर_है,I,,
मोदी_खेतीकानून_वापिस_लो,I,,
मोदी_नंग_किसान_तंग,I,,
मोदी_बिचौलिया_अडानी_का,I,,
मोदी_भाषण_रोको_आक्सीजन_नहीं,I,,
मोदी_शैतान_भुगतें_किसान,I,,
